{'home_team': 'Aston Villa', 'away_team': 'Everton', 'home_odds': 1.8, 'draw_odds': 3.7, 'away_odds': 5.7, 'date': '13.Aug.2022'}
{'home_team': 'Brentford', 'away_team': 'Man Utd', 'home_odds': 4.8, 'draw_odds': 4.2, 'away_odds': 1.82, 'date': '13.Aug.2022'}
{'home_team': 'Brighton', 'away_team': 'Newcastle', 'home_odds': 2.56, 'draw_odds': 3.4, 'away_odds': 3.2, 'date': '13.Aug.2022'}
{'home_team': 'Arsenal', 'away_team': 'Leicester', 'home_odds': 1.61, 'draw_odds': 4.4, 'away_odds': 6.4, 'date': '13.Aug.2022'}
{'home_team': 'Man City', 'away_team': 'Bournemouth', 'home_odds': 1.09, 'draw_odds': 17.0, 'away_odds': 50.0, 'date': '13.Aug.2022'}
{'home_team': 'Southampton', 'away_team': 'Leeds', 'home_odds': 2.5, 'draw_odds': 3.75, 'away_odds': 3.05, 'date': '13.Aug.2022'}
{'home_team': 'Wolves', 'away_team': 'Fulham', 'home_odds': 2.26, 'draw_odds': 3.55, 'away_odds': 3.65, 'date': '13.Aug.2022'}
{'home_team': 'Chelsea', 'away_team': 'Tottenham', 'home_odds': 2.2, 'draw_odds': 3.6, 'away_odds': 3.7, 'date': '14.Aug.2022'}
{'home_team': 'Nottm Forest', 'away_team': 'West Ham', 'home_odds': 4.2, 'draw_odds': 3.75, 'away_odds': 2.02, 'date': '14.Aug.2022'}
{'home_team': 'Liverpool', 'away_team': 'Crystal Palace', 'home_odds': 1.3, 'draw_odds': 6.6, 'away_odds': 13.5, 'date': '15.Aug.2022'}
{'home_team': 'Bournemouth', 'away_team': 'Arsenal', 'home_odds': 8.6, 'draw_odds': 5.1, 'away_odds': 1.45, 'date': '20.Aug.2022'}
{'home_team': 'Crystal Palace', 'away_team': 'Aston Villa', 'home_odds': 2.62, 'draw_odds': 3.25, 'away_odds': 3.25, 'date': '20.Aug.2022'}
{'home_team': 'Fulham', 'away_team': 'Brentford', 'home_odds': 2.74, 'draw_odds': 3.55, 'away_odds': 2.86, 'date': '20.Aug.2022'}
{'home_team': 'Tottenham', 'away_team': 'Wolves', 'home_odds': 1.48, 'draw_odds': 5.0, 'away_odds': 7.8, 'date': '20.Aug.2022'}
